,T_DB,T_WB,f0_c0,f0_c1,f0_c2,f0_c3,f1_c0,f1_c1,f1_c2,f1_c3,f2_c0,f2_c1,f2_c2,f2_c3,f3_c0,f3_c1,f3_c2,f3_c3,f4_c0,f4_c1,f4_c2,f4_c3
0,22.0,18.45060888,-9.352358283218839e-05,0.23855376908636647,3.2556223905633175e-07,-68.91699447071939,-0.00013856705386112121,0.11344235131865019,4.7652853267521333e-07,-32.434428870930184,-0.00011589138069803361,0.10947261636018703,3.984774475940256e-07,-31.276851740048727,-8.00180443206716e-05,0.10572054325936465,2.750766633780044e-07,-30.182744939497933,-7.146556801397537e-05,0.10513458007674915,2.4566643448686865e-07,-30.011877718372233
1,22.0,18.45060888,-9.352358283218839e-05,0.23855376908636647,3.2556223905633175e-07,-68.91699447071939,-0.00013856705386112121,0.11344235131865019,4.7652853267521333e-07,-32.434428870930184,-0.00011589138069803361,0.10947261636018703,3.984774475940256e-07,-31.276851740048727,-8.00180443206716e-05,0.10572054325936465,2.750766633780044e-07,-30.182744939497933,-7.146556801397537e-05,0.10513458007674915,2.4566643448686865e-07,-30.011877718372233
2,21.0,17.51007834,-9.321738160369709e-05,0.2385537690863665,3.2556223905633175e-07,-68.69262736546098,-0.00013811886422295642,0.1134423513186503,4.7652853267521333e-07,-32.327732874986886,-0.0001155166004890694,0.10947261636018703,3.984774475940256e-07,-31.173889401069204,-7.975932631792603e-05,0.10572054325936467,2.750766633780044e-07,-30.083311539857345,-7.123451122968536e-05,0.10513458007674911,2.4566643448686865e-07,-29.91299543500115
3,20.0,17.00064316,-9.305152874584825e-05,0.23855376908636614,3.2556223905633175e-07,-68.57109968316622,-0.00013787610382413654,0.11344235131864942,4.7652853267521333e-07,-32.26994135032363,-0.0001153136020588279,0.10947261636018597,3.984774475940256e-07,-31.118120199048814,-7.961919258840579e-05,0.10572054325936371,2.750766633780044e-07,-30.029453775872064,-7.110936010541151e-05,0.10513458007674832,2.4566643448686865e-07,-29.859436181275832
4,20.0,17.00064316,-9.305152874584825e-05,0.23855376908636614,3.2556223905633175e-07,-68.57109968316622,-0.00013787610382413654,0.11344235131864942,4.7652853267521333e-07,-32.26994135032363,-0.0001153136020588279,0.10947261636018597,3.984774475940256e-07,-31.118120199048814,-7.961919258840579e-05,0.10572054325936371,2.750766633780044e-07,-30.029453775872064,-7.110936010541151e-05,0.10513458007674832,2.4566643448686865e-07,-29.859436181275832
5,19.0,16.56490642,-7.96999969144517e-05,0.22322930050679904,2.8092478121521935e-07,-63.92715807039915,-0.00013402595831724678,0.09811788273908245,4.642199653709378e-07,-27.68051537906222,-0.0001122847734141301,0.09414814778061957,3.8882930880612676e-07,-26.53042398727667,-7.76780793210847e-05,0.09039607467979704,2.6892237972586663e-07,-25.443392480111573,-6.940173765327e-05,0.08981011149718157,2.402578470062089e-07,-25.273630211096123
6,20.0,17.00064316,-9.305152874584825e-05,0.23855376908636614,3.2556223905633175e-07,-68.57109968316622,-0.00013787610382413654,0.11344235131864942,4.7652853267521333e-07,-32.26994135032363,-0.0001153136020588279,0.10947261636018597,3.984774475940256e-07,-31.118120199048814,-7.961919258840579e-05,0.10572054325936371,2.750766633780044e-07,-30.029453775872064,-7.110936010541151e-05,0.10513458007674832,2.4566643448686865e-07,-29.859436181275832
7,21.0,17.95255691,-9.336143593440011e-05,0.2385537690866854,3.255622390576025e-07,-68.79818229300093,-0.0001383297178946133,0.1134423513188018,4.7652853267649643e-07,-32.3779286829526,-0.00011569291822793355,0.10947261636033297,3.984774475957494e-07,-31.222328686465023,-7.988104185398893e-05,0.10572054325950567,2.750766633801448e-07,-30.130090613386738,-7.134321336968631e-05,0.10513458007688936,2.456664344890741e-07,-29.959515232390476
8,22.0,18.45060888,-9.352358283218839e-05,0.23855376908636647,3.2556223905633175e-07,-68.91699447071939,-0.00013856705386112121,0.11344235131865019,4.7652853267521333e-07,-32.434428870930184,-0.00011589138069803361,0.10947261636018703,3.984774475940256e-07,-31.276851740048727,-8.00180443206716e-05,0.10572054325936465,2.750766633780044e-07,-30.182744939497933,-7.146556801397537e-05,0.10513458007674915,2.4566643448686865e-07,-30.011877718372233
9,23.0,18.91616356,-9.367514985620556e-05,0.23855376908636572,3.2556223905633175e-07,-69.02805429435217,-0.00013878890394966253,0.11344235131864956,4.7652853267521333e-07,-32.48724248849738,-0.00011607689373863554,0.10947261636018607,3.984774475940256e-07,-31.327817228927664,-8.014610754866469e-05,0.10572054325936363,2.750766633780044e-07,-30.231963633185284,-7.157993917227063e-05,0.10513458007674827,2.4566643448686865e-07,-30.060823614157194
10,23.0,18.30659025,-9.347669580454138e-05,0.2385537690863664,3.2556223905633175e-07,-68.88263828371178,-0.00013849842487468893,0.11344235131864984,4.7652853267521333e-07,-32.418091058908296,-0.00011583399252194499,0.10947261636018672,3.984774475940256e-07,-31.261085643817008,-7.997842815646723e-05,0.10572054325936463,2.750766633780044e-07,-30.167519211693868,-7.14301874706432e-05,0.10513458007674889,2.4566643448686865e-07,-29.99673638018303
11,23.0,18.91616356,-9.367514985620556e-05,0.23855376908636572,3.2556223905633175e-07,-69.02805429435217,-0.00013878890394966253,0.11344235131864956,4.7652853267521333e-07,-32.48724248849738,-0.00011607689373863554,0.10947261636018607,3.984774475940256e-07,-31.327817228927664,-8.014610754866469e-05,0.10572054325936363,2.750766633780044e-07,-30.231963633185284,-7.157993917227063e-05,0.10513458007674827,2.4566643448686865e-07,-30.060823614157194
12,22.0,17.87037826,-9.333468165237923e-05,0.23855376908636644,3.2556223905633175e-07,-68.77857826937729,-0.00013829055741515768,0.11344235131864985,4.7652853267521333e-07,-32.36860614509026,-0.00011566017188155955,0.10947261636018628,3.984774475940256e-07,-31.213332375984667,-7.985843641773391e-05,0.10572054325936436,2.750766633780044e-07,-30.121402643135198,-7.132302482637852e-05,0.10513458007674867,2.4566643448686865e-07,-29.95087541579078
13,22.0,17.87037826,-9.333468165237923e-05,0.23855376908636644,3.2556223905633175e-07,-68.77857826937729,-0.00013829055741515768,0.11344235131864985,4.7652853267521333e-07,-32.36860614509026,-0.00011566017188155955,0.10947261636018628,3.984774475940256e-07,-31.213332375984667,-7.985843641773391e-05,0.10572054325936436,2.750766633780044e-07,-30.121402643135198,-7.132302482637852e-05,0.10513458007674867,2.4566643448686865e-07,-29.95087541579078
14,23.0,17.80421156,-9.331314027337711e-05,0.23855376908636647,3.2556223905633175e-07,-68.76279395370511,-0.00013825902709469466,0.11344235131864976,4.7652853267521333e-07,-32.36110003906382,-0.00011563380594382765,0.1094726163601868,3.984774475940256e-07,-31.206088934220478,-7.984023550267134e-05,0.10572054325936443,2.750766633780044e-07,-30.114407463665984,-7.130676988910747e-05,0.10513458007674904,2.4566643448686865e-07,-29.943919007571846
15,22.0,17.87037826,-9.333468165237923e-05,0.23855376908636644,3.2556223905633175e-07,-68.77857826937729,-0.00013829055741515768,0.11344235131864985,4.7652853267521333e-07,-32.36860614509026,-0.00011566017188155955,0.10947261636018628,3.984774475940256e-07,-31.213332375984667,-7.985843641773391e-05,0.10572054325936436,2.750766633780044e-07,-30.121402643135198,-7.132302482637852e-05,0.10513458007674867,2.4566643448686865e-07,-29.95087541579078
16,22.0,17.87037826,-9.333468165237923e-05,0.23855376908636644,3.2556223905633175e-07,-68.77857826937729,-0.00013829055741515768,0.11344235131864985,4.7652853267521333e-07,-32.36860614509026,-0.00011566017188155955,0.10947261636018628,3.984774475940256e-07,-31.213332375984667,-7.985843641773391e-05,0.10572054325936436,2.750766633780044e-07,-30.121402643135198,-7.132302482637852e-05,0.10513458007674867,2.4566643448686865e-07,-29.95087541579078
17,21.0,17.95255691,-9.336143593440011e-05,0.2385537690866854,3.255622390576025e-07,-68.79818229300093,-0.0001383297178946133,0.1134423513188018,4.7652853267649643e-07,-32.3779286829526,-0.00011569291822793355,0.10947261636033297,3.984774475957494e-07,-31.222328686465023,-7.988104185398893e-05,0.10572054325950567,2.750766633801448e-07,-30.130090613386738,-7.134321336968631e-05,0.10513458007688936,2.456664344890741e-07,-29.959515232390476
18,22.0,18.45060888,-9.352358283218839e-05,0.23855376908636647,3.2556223905633175e-07,-68.91699447071939,-0.00013856705386112121,0.11344235131865019,4.7652853267521333e-07,-32.434428870930184,-0.00011589138069803361,0.10947261636018703,3.984774475940256e-07,-31.276851740048727,-8.00180443206716e-05,0.10572054325936465,2.750766633780044e-07,-30.182744939497933,-7.146556801397537e-05,0.10513458007674915,2.4566643448686865e-07,-30.011877718372233
19,21.0,18.60288878,-9.357315941739346e-05,0.23855376908636647,3.2556223905633175e-07,-68.95332141482173,-0.0001386396195784245,0.11344235131864981,4.7652853267521333e-07,-32.45170386084498,-0.00011595206080390571,0.10947261636018657,3.984774475940256e-07,-31.29352221912101,-8.005993296746285e-05,0.10572054325936424,2.750766633780044e-07,-30.19884405325372,-7.150297807405276e-05,0.1051345800767488,2.4566643448686865e-07,-30.027887601713054
20,21.0,18.60288878,-9.357315941739346e-05,0.23855376908636647,3.2556223905633175e-07,-68.95332141482173,-0.0001386396195784245,0.11344235131864981,4.7652853267521333e-07,-32.45170386084498,-0.00011595206080390571,0.10947261636018657,3.984774475940256e-07,-31.29352221912101,-8.005993296746285e-05,0.10572054325936424,2.750766633780044e-07,-30.19884405325372,-7.150297807405276e-05,0.1051345800767488,2.4566643448686865e-07,-30.027887601713054
21,21.0,18.60288878,-9.357315941739346e-05,0.23855376908636647,3.2556223905633175e-07,-68.95332141482173,-0.0001386396195784245,0.11344235131864981,4.7652853267521333e-07,-32.45170386084498,-0.00011595206080390571,0.10947261636018657,3.984774475940256e-07,-31.29352221912101,-8.005993296746285e-05,0.10572054325936424,2.750766633780044e-07,-30.19884405325372,-7.150297807405276e-05,0.1051345800767488,2.4566643448686865e-07,-30.027887601713054
22,21.0,18.60288878,-9.357315941739346e-05,0.23855376908636647,3.2556223905633175e-07,-68.95332141482173,-0.0001386396195784245,0.11344235131864981,4.7652853267521333e-07,-32.45170386084498,-0.00011595206080390571,0.10947261636018657,3.984774475940256e-07,-31.29352221912101,-8.005993296746285e-05,0.10572054325936424,2.750766633780044e-07,-30.19884405325372,-7.150297807405276e-05,0.1051345800767488,2.4566643448686865e-07,-30.027887601713054
23,21.0,17.51007834,-9.321738160369709e-05,0.2385537690863665,3.2556223905633175e-07,-68.69262736546098,-0.00013811886422295642,0.1134423513186503,4.7652853267521333e-07,-32.327732874986886,-0.0001155166004890694,0.10947261636018703,3.984774475940256e-07,-31.173889401069204,-7.975932631792603e-05,0.10572054325936467,2.750766633780044e-07,-30.083311539857345,-7.123451122968536e-05,0.10513458007674911,2.4566643448686865e-07,-29.91299543500115
